state,name,land_area_sqmi,land_area_sqft,water_area_sqmi
AK,Adak city,29.620,825758208,42.254
AK,Akhiok city,7.400,206300160,2.210
AK,Akiachak CDP,7.010,195427584,0.000
AK,Akiak city,2.146,59827046,0.855
AK,Akutan city,65.963,1838942899,81.941
AK,Alakanuk city,31.972,891328205,9.827
AK,Alatna CDP,36.939,1029800218,0.000
AK,Alcan Border CDP,151.732,4230045389,0.882
AK,Aleknagik city,26.233,731334067,17.285
AK,Aleneva CDP,62.208,1734259507,0.000
AK,Allakaket city,15.828,441259315,1.205
AK,Ambler city,10.330,287983872,1.517
AK,Anaktuvuk Pass city,5.177,144326477,0.054
AK,Anchor Point CDP,91.710,2556728064,0.062
AK,Anchorage municipality,1706.802,47582908877,237.706
AK,Anderson city,41.940,1169220096,3.046
AK,Angoon city,24.534,683968666,14.436
AK,Aniak city,6.127,170810957,2.348
AK,Anvik city,9.587,267270221,2.339
AK,Arctic Village CDP,63.600,1773066240,6.371
AK,Atka city,8.129,226623514,28.273
AK,Atmautluak CDP,1.516,42263654,2.890
AK,Atqasuk city,39.120,1090603008,3.616
AK,Attu Station CDP,142.114,3961910938,1.080
AK,Badger CDP,65.837,1835430221,0.921
AK,Bear Creek CDP,38.331,1068606950,1.262
AK,Beaver CDP,20.518,572009011,0.526
AK,Beluga CDP,99.244,2766763930,0.609
AK,Bethel city,45.071,1256507366,5.038
AK,Bettles city,1.565,43629696,0.027
AK,Big Delta CDP,47.112,1313407181,6.568
AK,Big Lake CDP,115.319,3214909210,12.427
AK,Birch Creek CDP,7.985,222609024,0.296
AK,Brevig Mission city,2.342,65291213,0.170
AK,Buckland city,0.715,19933056,0.286
AK,Buffalo Soapstone CDP,22.134,617060506,0.055
AK,Butte CDP,33.793,942094771,1.077
AK,Cantwell CDP,118.956,3316302950,0.441
AK,Central CDP,247.928,6911835955,1.430
AK,Chalkyitsik CDP,8.654,241259674,0.103
AK,Chase CDP,168.693,4702890931,0.770
AK,Chefornak city,5.178,144354355,0.812
AK,Chena Ridge CDP,36.430,1015610112,0.418
AK,Chenega CDP,29.285,816418944,0.277
AK,Chevak city,1.092,30443213,0.051
AK,Chickaloon CDP,67.061,1869553382,0.807
AK,Chicken CDP,115.937,3232138061,0.000
AK,Chignik Lagoon CDP,13.248,369333043,0.000
AK,Chignik Lake CDP,13.675,381237120,9.001
AK,Chignik city,10.850,302480640,5.002
AK,Chiniak CDP,38.725,1079591040,0.070
AK,Chisana CDP,79.388,2213210419,0.050
AK,Chistochina CDP,368.288,10267280179,0.418
AK,Chitina CDP,84.703,2361384115,14.806
AK,Chuathbaluk city,4.468,124560691,1.756
AK,Circle CDP,105.990,2954831616,0.569
AK,Clam Gulch CDP,13.341,371925734,0.006
AK,Clark's Point city,3.324,92667802,0.785
AK,Coffman Cove city,10.896,303763046,2.391
AK,Cohoe CDP,70.380,1962081792,2.772
AK,Cold Bay city,52.520,1464173568,15.536
AK,Coldfoot CDP,35.798,997990963,0.073
AK,College CDP,18.768,523221811,0.351
AK,Cooper Landing CDP,65.750,1833004800,4.086
AK,Copper Center CDP,12.349,344270362,0.010
AK,Cordova city,61.351,1710367718,13.792
AK,Covenant Life CDP,27.053,754194355,0.199
AK,Craig city,6.688,186450739,2.819
AK,Crooked Creek CDP,100.586,2804176742,6.802
AK,Crown Point CDP,3.574,99637402,0.000
AK,Deering city,5.010,139670784,0.079
AK,Delta Junction city,13.879,386924314,0.019
AK,Deltana CDP,568.604,15851769754,1.536
AK,Denali Park CDP,176.505,4920676992,0.040
AK,Diamond Ridge CDP,42.397,1181960525,0.000
AK,Dillingham city,33.158,924391987,2.908
AK,Diomede city,2.432,67800269,0.000
AK,Dot Lake CDP,294.958,8222957107,0.809
AK,Dot Lake Village CDP,4.376,121995878,0.000
AK,Dry Creek CDP,140.172,3907771085,0.067
AK,Eagle Village CDP,16.965,472957056,0.035
AK,Eagle city,0.885,24672384,0.000
AK,Eareckson Station CDP,5.485,152913024,0.000
AK,Edna Bay city,21.145,589488768,3.066
AK,Eek city,0.622,17340365,0.119
AK,Egegik city,28.797,802814285,99.706
AK,Eielson AFB CDP,29.893,833369011,1.177
AK,Ekwok city,17.092,476497613,0.915
AK,Elfin Cove CDP,168.353,4693412275,35.862
AK,Elim city,2.634,73431706,0.000
AK,Emmonak city,5.072,141399245,0.838
AK,Ester CDP,64.236,1790796902,0.067
AK,Eureka Roadhouse CDP,185.609,5174481946,1.658
AK,Evansville CDP,22.839,636714778,0.333
AK,Excursion Inlet CDP,56.413,1572704179,0.139
AK,Fairbanks city,31.799,886505242,0.830
AK,False Pass city,25.090,699469056,40.456
AK,Farm Loop CDP,9.106,253860710,0.097
AK,Farmers Loop CDP,21.795,607609728,0.023
AK,Ferry CDP,63.518,1770780211,0.000
AK,Fishhook CDP,65.185,1817253504,0.371
AK,Flat CDP,160.259,4467764506,0.000
AK,Fort Greely CDP,11.026,307387238,0.000
AK,Fort Yukon city,6.710,187064064,0.230
AK,Four Mile Road CDP,1.133,31586227,0.032
AK,Fox CDP,12.992,362196173,0.000
AK,Fox River CDP,125.394,3495784090,2.880
AK,Fritz Creek CDP,53.921,1503231206,0.037
AK,Funny River CDP,26.757,745942349,2.333
AK,Gakona CDP,60.708,1692441907,0.023
AK,Galena city,17.758,495064627,6.749
AK,Gambell city,10.616,295957094,17.804
AK,Game Creek CDP,5.892,164259533,0.061
AK,Gateway CDP,18.364,511958938,0.517
AK,Glacier View CDP,232.256,6474925670,2.324
AK,Glennallen CDP,115.207,3211786829,0.612
AK,Goldstream CDP,86.000,2397542400,0.037
AK,Golovin city,4.130,115137792,0.005
AK,Goodnews Bay city,3.330,92835072,0.004
AK,Grayling city,11.229,313046554,0.006
AK,Gulkana CDP,34.884,972510106,0.000
AK,Gustavus city,34.866,972008294,20.606
AK,Haines CDP,13.253,369472435,7.434
AK,Halibut Cove CDP,8.318,231892531,3.180
AK,Happy Valley CDP,88.385,2464032384,0.003
AK,Harding-Birch Lakes CDP,214.152,5970215117,17.088
AK,Healy CDP,686.788,19146550579,0.521
AK,Healy Lake CDP,66.756,1861050470,8.286
AK,Hobart Bay CDP,119.426,3329405798,9.572
AK,Hollis CDP,65.061,1813796582,0.954
AK,Holy Cross city,29.180,813491712,6.882
AK,Homer city,13.795,384582528,11.459
AK,Hoonah city,5.868,163590451,1.265
AK,Hooper Bay city,7.284,203066266,0.058
AK,Hope CDP,51.721,1441898726,0.070
AK,Houston city,23.946,667576166,1.310
AK,Hughes city,3.039,84722458,0.000
AK,Huslia city,15.654,436408474,0.667
AK,Hydaburg city,0.292,8140493,0.003
AK,Hyder CDP,17.144,477947290,0.000
AK,Igiugig CDP,21.236,592025702,0.909
AK,Iliamna CDP,36.999,1031472922,0.685
AK,Ivanof Bay CDP,4.191,116838374,0.003
AK,Juneau city and borough,2702.924,75353196442,555.066
AK,Kachemak city,1.674,46668442,0.000
AK,Kake city,7.673,213910963,5.833
AK,Kaktovik city,0.774,21577882,0.272
AK,Kalifornsky CDP,69.089,1926090778,0.900
AK,Kaltag city,23.103,644074675,4.452
AK,Karluk CDP,55.943,1559601331,1.919
AK,Kasaan city,6.063,169026739,0.735
AK,Kasigluk CDP,10.461,291635942,2.117
AK,Kasilof CDP,10.343,288346291,0.283
AK,Kenai city,29.140,812376576,6.816
AK,Kenny Lake CDP,194.479,5421763354,0.101
AK,Ketchikan city,3.830,106774272,1.072
AK,Kiana city,0.188,5241139,0.000
AK,King Cove city,24.652,687258317,4.546
AK,King Salmon CDP,167.192,4661045453,1.471
AK,Kipnuk CDP,20.072,559575245,0.470
AK,Kivalina city,1.631,45469670,2.530
AK,Klawock city,0.681,18985190,0.292
AK,Klukwan CDP,1.260,35126784,0.012
AK,Knik River CDP,81.720,2278222848,9.957
AK,Knik-Fairview CDP,73.535,2050038144,1.013
AK,Kobuk city,15.329,427347994,0.693
AK,Kodiak Station CDP,23.206,646946150,7.718
AK,Kodiak city,3.930,109562112,1.565
AK,Kokhanok CDP,20.681,576553190,0.206
AK,Koliganek CDP,16.726,466294118,0.013
AK,Kongiganak CDP,13.236,368998502,0.135
AK,Kotlik city,2.994,83467930,0.506
AK,Kotzebue city,24.409,680483866,2.096
AK,Koyuk city,5.101,142207718,0.003
AK,Koyukuk city,5.745,160161408,0.104
AK,Kupreanof city,3.020,84192768,1.627
AK,Kwethluk city,10.143,282770611,1.678
AK,Kwigillingok CDP,23.726,661442918,0.103
AK,Lake Louise CDP,55.756,1554388070,41.963
AK,Lake Minchumina CDP,226.764,6321817498,23.190
AK,Larsen Bay city,4.033,112433587,2.274
AK,Lazy Mountain CDP,58.634,1634622106,0.163
AK,Levelock CDP,16.731,466433510,0.000
AK,Lime Village CDP,76.519,2133227290,2.194
AK,Livengood CDP,265.327,7396892237,0.000
AK,Loring CDP,0.554,15444634,0.077
AK,Lowell Point CDP,11.727,326929997,0.021
AK,Lower Kalskag city,1.235,34429824,0.516
AK,Lutak CDP,126.958,3539385907,6.303
AK,Manley Hot Springs CDP,54.630,1522996992,0.000
AK,Manokotak city,73.734,2055585946,34.713
AK,Marshall city,4.056,113074790,0.008
AK,McCarthy CDP,149.622,4171221965,0.000
AK,McGrath city,43.236,1205350502,4.706
AK,Meadow Lakes CDP,75.547,2106129485,3.090
AK,Mekoryuk city,7.068,197044531,0.012
AK,Mendeltna CDP,450.925,12571067520,7.574
AK,Mentasta Lake CDP,300.654,8381752474,1.904
AK,Mertarvik CDP,6.895,192221568,0.000
AK,Metlakatla CDP,2.312,64454861,0.019
AK,Mill Bay CDP,3.444,96013210,0.167
AK,Minto CDP,131.922,3677774285,4.286
AK,Moose Creek CDP,1.557,43406669,0.092
AK,Moose Pass CDP,17.710,493726464,0.170
AK,Mosquito Lake CDP,77.171,2151404006,0.446
AK,Mountain Village city,4.200,117089280,1.214
AK,Mud Bay CDP,12.137,338360141,0.024
AK,Nabesna CDP,160.257,4467708749,0.560
AK,Naknek CDP,81.406,2269469030,0.801
AK,Nanwalek CDP,8.119,226344730,0.284
AK,Napakiak city,1.887,52606541,0.095
AK,Napaskiak city,2.849,79425562,0.245
AK,Naukati Bay CDP,4.791,133565414,0.300
AK,Nelchina CDP,46.889,1307190298,0.511
AK,Nelson Lagoon CDP,188.102,5243982797,58.875
AK,Nenana city,6.228,173626675,0.034
AK,New Stuyahok city,34.444,960243610,1.512
AK,Newhalen city,5.946,165764966,2.552
AK,Newtok CDP,0.731,20379110,0.027
AK,Nightmute city,98.805,2754525312,4.987
AK,Nikiski CDP,69.476,1936879718,6.453
AK,Nikolaevsk CDP,34.858,971785267,0.000
AK,Nikolai city,4.360,121549824,0.340
AK,Nikolski CDP,132.438,3692159539,0.889
AK,Ninilchik CDP,207.215,5776822656,0.059
AK,Noatak CDP,16.003,446138035,0.850
AK,Nome city,12.716,354501734,8.770
AK,Nondalton city,6.733,187705267,0.277
AK,Noorvik city,0.922,25703885,0.344
AK,North Lakes CDP,15.491,431864294,1.739
AK,North Pole city,4.086,113911142,0.015
AK,Northway CDP,242.390,6757445376,4.929
AK,Nuiqsut city,8.634,240702106,0.254
AK,Nulato city,41.091,1145551334,2.694
AK,Nunam Iqua city,12.057,336129869,6.042
AK,Nunapitchuk city,6.988,194814259,0.968
AK,Old Harbor city,16.188,451295539,6.397
AK,Oscarville CDP,2.511,70002662,0.168
AK,Ouzinkie city,5.536,154334822,1.498
AK,Palmer city,5.073,141427123,0.000
AK,Paxson CDP,304.026,8475758438,15.136
AK,Pedro Bay CDP,19.315,538471296,3.968
AK,Pelican city,0.549,15305242,0.066
AK,Perryville CDP,11.622,324002765,0.076
AK,Petersburg CDP,44.179,1231639834,2.127
AK,Petersville CDP,461.834,12875192986,0.666
